epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.262,2.30571,3.11122,1.92109,0.09696,0.27,0.10441,0.05691,2.02306,5.90447,3.07368,0.000551962,0.000551962,0.000551962
2,62.204,2.23154,1.95275,1.66062,0.6533,0.19,0.1646,0.10156,2.18395,5.77448,3.01512,0.00110751,0.00110751,0.00110751
3,92.0255,2.2986,2.02806,1.69222,0.55857,0.2,0.06267,0.03064,2.22875,7.12863,2.88334,0.00166257,0.00166257,0.00166257
4,121.532,2.21551,1.88877,1.63894,0.67286,0.24308,0.24694,0.1351,2.19364,5.97965,3.00926,0.00166537,0.00166537,0.00166537
5,151.214,2.18148,1.73738,1.60114,0.10269,0.52931,0.1051,0.06199,1.94883,5.81411,2.68074,0.00166411,0.00166411,0.00166411
6,181.988,2.19578,1.69393,1.60047,0.11066,0.28424,0.11191,0.07079,2.06691,6.02983,2.76784,0.00166248,0.00166248,0.00166248
7,214.766,2.11302,1.63521,1.54385,0.63002,0.26006,0.23135,0.12122,2.21396,6.23301,3.03834,0.00166049,0.00166049,0.00166049
8,247.735,2.04253,1.58442,1.5204,0.60064,0.4,0.1321,0.07711,2.17736,6.04778,3.04517,0.00165815,0.00165815,0.00165815
9,280.489,2.01546,1.53285,1.50312,0.64261,0.34,0.21337,0.13324,1.96043,5.98025,2.6538,0.00165544,0.00165544,0.00165544
10,313.388,1.96774,1.49445,1.47192,0.61812,0.38,0.18119,0.11517,2.00563,5.92104,2.90342,0.00165238,0.00165238,0.00165238
11,344.044,1.98336,1.50663,1.47637,0.12865,0.57672,0.20065,0.12662,1.9981,6.08565,2.79399,0.00164897,0.00164897,0.00164897
12,376.68,1.95592,1.44872,1.46589,0.73348,0.25,0.27127,0.1912,2.00749,5.90236,2.82181,0.0016452,0.0016452,0.0016452
13,415.619,1.92726,1.4379,1.43589,0.1526,0.58103,0.21655,0.14701,2.12381,5.93829,2.99414,0.00164108,0.00164108,0.00164108
14,454.341,1.92758,1.41121,1.45776,0.1363,0.56552,0.21082,0.1321,1.8944,6.00854,2.66119,0.0016366,0.0016366,0.0016366
15,492.624,1.92968,1.35971,1.42384,0.15387,0.57879,0.15872,0.07296,2.36465,6.3998,3.25935,0.00163178,0.00163178,0.00163178
16,531.505,1.95185,1.42708,1.46755,0.67466,0.36,0.3089,0.17296,2.25259,6.49972,3.09182,0.00162661,0.00162661,0.00162661
17,569.338,1.8949,1.35995,1.41165,0.15721,0.58017,0.18763,0.12243,2.05157,6.21411,2.97108,0.0016211,0.0016211,0.0016211
18,601.669,1.91668,1.39719,1.44352,0.16278,0.58276,0.22259,0.13344,1.9648,5.93262,2.85432,0.00161525,0.00161525,0.00161525
19,633.224,1.85516,1.30464,1.38826,0.16277,0.58276,0.16084,0.0992,2.05183,6.48354,2.99207,0.00160905,0.00160905,0.00160905
20,665.469,1.84821,1.33076,1.39707,0.7003,0.36,0.30533,0.19702,1.99041,6.3432,2.91389,0.00160252,0.00160252,0.00160252
21,703.658,1.87002,1.32635,1.41289,0.16805,0.57838,0.22209,0.1391,1.96555,6.51444,2.75824,0.00159566,0.00159566,0.00159566
22,737.172,1.8931,1.29505,1.41355,0.66863,0.31,0.27021,0.17134,1.98394,6.40169,2.95394,0.00158847,0.00158847,0.00158847
