epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9867,0.76929,2.25258,1.96685,1.14572,0.81695,0.81778,0.89066,0.75845,0.61147,0.57024,0.60637,0.48362,0.59076,1.55368,0.92493,1.01602,0.00027651,0.00027651,0.00027651
2,104.741,0.65849,1.64759,0.9836,1.03211,0.81638,0.88391,0.94326,0.80055,0.66946,0.64031,0.68339,0.56703,0.60638,1.56088,0.75884,1.02224,0.000554116,0.000554116,0.000554116
3,145.861,0.62748,1.5696,0.82614,1.01054,0.94038,0.94478,0.97439,0.84456,0.65727,0.6671,0.65329,0.548,0.52854,1.33755,0.58398,0.97856,0.000831482,0.000831482,0.000831482
4,186.251,0.62526,1.51911,0.75833,0.99995,0.92091,0.9257,0.9722,0.84782,0.65307,0.64458,0.64125,0.54901,0.53121,1.29217,0.56099,0.96951,0.000832186,0.000832186,0.000832186
5,227.004,0.6159,1.48539,0.70773,1.00277,0.82636,0.8841,0.95421,0.83368,0.57174,0.67437,0.64178,0.54675,0.51637,1.33641,0.66576,0.95852,0.000831554,0.000831554,0.000831554
6,268.061,0.59847,1.47159,0.66787,0.98259,0.97801,0.97249,0.98455,0.86442,0.67225,0.67362,0.63501,0.55393,0.51544,1.27278,0.44089,0.95539,0.000830741,0.000830741,0.000830741
7,314.836,0.58012,1.47971,0.61103,0.97142,0.96026,0.95195,0.98203,0.8666,0.69513,0.67491,0.65577,0.55241,0.5213,1.33427,0.47096,0.96049,0.000829749,0.000829749,0.000829749
8,363.525,0.57371,1.443,0.62798,0.96697,0.97213,0.96908,0.98839,0.89483,0.68744,0.69199,0.6451,0.55767,0.44819,1.24044,0.41154,0.92063,0.000828577,0.000828577,0.000828577
9,420.731,0.56459,1.34244,0.58574,0.96618,0.9492,0.96811,0.98657,0.88858,0.68562,0.6815,0.64477,0.56846,0.45897,1.17563,0.43134,0.92478,0.000827226,0.000827226,0.000827226
10,468.847,0.5638,1.36199,0.56998,0.9643,0.94668,0.95134,0.98421,0.89839,0.66057,0.67,0.65287,0.57388,0.42771,1.19032,0.43121,0.90664,0.000825696,0.000825696,0.000825696
11,509.669,0.55163,1.392,0.5728,0.96456,0.97133,0.9769,0.98893,0.89529,0.68924,0.67669,0.67127,0.60447,0.45675,1.18772,0.40732,0.92608,0.000823989,0.000823989,0.000823989
12,551.207,0.54428,1.34757,0.55685,0.95933,0.961,0.9642,0.98379,0.89389,0.69978,0.70185,0.66405,0.5811,0.43613,1.18769,0.40327,0.90881,0.000822106,0.000822106,0.000822106
13,592.118,0.5367,1.33227,0.52384,0.9564,0.9814,0.97414,0.98495,0.90194,0.71231,0.70615,0.64043,0.5661,0.43006,1.2149,0.36976,0.90635,0.000820046,0.000820046,0.000820046
14,632.835,0.548,1.38298,0.52919,0.96127,0.97299,0.98135,0.98774,0.89445,0.72644,0.73295,0.67088,0.58896,0.44104,1.19054,0.36307,0.91038,0.000817811,0.000817811,0.000817811
15,672.978,0.54159,1.32393,0.51054,0.94298,0.96388,0.972,0.98654,0.89688,0.71077,0.70681,0.65395,0.5734,0.4465,1.18344,0.37608,0.91189,0.000815401,0.000815401,0.000815401
16,713.072,0.53241,1.30934,0.49551,0.94718,0.97065,0.97737,0.9887,0.91015,0.71148,0.71,0.66547,0.59398,0.39964,1.14879,0.35865,0.88812,0.000812819,0.000812819,0.000812819
17,753.1,0.51347,1.33756,0.48847,0.94451,0.95945,0.94828,0.98337,0.9047,0.67789,0.6803,0.6581,0.57709,0.42116,1.17017,0.41312,0.90314,0.000810064,0.000810064,0.000810064
18,799.197,0.5185,1.30306,0.47708,0.94004,0.96123,0.95573,0.9851,0.88847,0.67781,0.68159,0.64674,0.5639,0.4654,1.1854,0.38968,0.92106,0.000807139,0.000807139,0.000807139
19,849.356,0.51965,1.31845,0.4812,0.93995,0.96657,0.9735,0.98323,0.90578,0.68487,0.68836,0.64193,0.56786,0.40567,1.18698,0.37549,0.88649,0.000804044,0.000804044,0.000804044
20,897.543,0.50617,1.32115,0.46825,0.93245,0.98095,0.97699,0.98794,0.91371,0.70076,0.69649,0.6531,0.59203,0.40419,1.12941,0.33468,0.88991,0.000800781,0.000800781,0.000800781
21,943.98,0.5016,1.27237,0.46352,0.9317,0.98598,0.97836,0.98877,0.92047,0.73801,0.73219,0.6795,0.60223,0.3979,1.13981,0.3231,0.88696,0.000797352,0.000797352,0.000797352
22,991.289,0.50505,1.28913,0.46619,0.9316,0.98842,0.98283,0.9914,0.91904,0.68977,0.68564,0.65573,0.5995,0.39612,1.15015,0.32047,0.88481,0.000793757,0.000793757,0.000793757
23,1037.07,0.51074,1.28033,0.46987,0.93009,0.97448,0.97893,0.99115,0.91226,0.68641,0.68444,0.64664,0.57822,0.4143,1.13717,0.33659,0.89085,0.000789998,0.000789998,0.000789998
24,1084.16,0.50766,1.26261,0.46215,0.92687,0.97903,0.98899,0.99113,0.91368,0.73761,0.74578,0.67491,0.60955,0.40873,1.14692,0.32591,0.89056,0.000786078,0.000786078,0.000786078
25,1131.39,0.49966,1.30561,0.44061,0.92862,0.97999,0.98282,0.98957,0.91956,0.70619,0.70708,0.65245,0.57889,0.39719,1.17401,0.32851,0.88041,0.000781997,0.000781997,0.000781997
26,1177.18,0.50312,1.31247,0.44783,0.9319,0.97537,0.98027,0.99104,0.9239,0.6913,0.69241,0.64105,0.58076,0.38683,1.12897,0.336,0.88025,0.000777758,0.000777758,0.000777758
27,1222.18,0.49229,1.24598,0.4393,0.92226,0.97433,0.96892,0.99104,0.91195,0.67165,0.66868,0.6307,0.56261,0.42133,1.16524,0.34639,0.89409,0.000773362,0.000773362,0.000773362
28,1268.36,0.48525,1.24549,0.42023,0.92955,0.98416,0.98857,0.9928,0.92992,0.7011,0.70266,0.65033,0.60189,0.37512,1.08538,0.3079,0.87238,0.000768811,0.000768811,0.000768811
29,1316.69,0.50243,1.27017,0.44141,0.93144,0.9835,0.97778,0.99223,0.91,0.72195,0.71693,0.65069,0.58632,0.43373,1.11885,0.32951,0.89966,0.000764108,0.000764108,0.000764108
30,1364.86,0.48881,1.2555,0.43122,0.92149,0.98409,0.98578,0.99107,0.91921,0.72945,0.73116,0.66692,0.59744,0.41313,1.11726,0.31974,0.88856,0.000759254,0.000759254,0.000759254
31,1411.69,0.48435,1.25477,0.43128,0.92314,0.9842,0.9893,0.99097,0.9321,0.72547,0.72535,0.66572,0.5965,0.36109,1.10457,0.28973,0.87296,0.000754251,0.000754251,0.000754251
32,1457.54,0.48265,1.25487,0.41895,0.92136,0.987,0.98495,0.9923,0.93194,0.71632,0.71681,0.65187,0.58961,0.37592,1.10816,0.29057,0.8702,0.000749102,0.000749102,0.000749102
33,1502.94,0.47632,1.2478,0.41694,0.91155,0.98103,0.97109,0.99011,0.92742,0.68921,0.67709,0.62291,0.57282,0.37404,1.11508,0.30726,0.87463,0.000743809,0.000743809,0.000743809
34,1549.09,0.48093,1.26258,0.40373,0.9169,0.99088,0.9886,0.99133,0.91773,0.74093,0.73927,0.67543,0.59604,0.41243,1.17801,0.29448,0.88453,0.000738375,0.000738375,0.000738375
35,1595.3,0.47989,1.23027,0.41049,0.9194,0.98092,0.98055,0.99196,0.93022,0.69384,0.69623,0.6502,0.59696,0.38684,1.12118,0.30109,0.8707,0.000732801,0.000732801,0.000732801
36,1641.7,0.48102,1.23298,0.41479,0.91906,0.98724,0.98433,0.99209,0.93216,0.71627,0.71458,0.65532,0.59424,0.38131,1.11241,0.2873,0.87361,0.00072709,0.00072709,0.00072709
37,1688.72,0.46657,1.21905,0.39279,0.91065,0.99062,0.98426,0.99277,0.93371,0.73054,0.72777,0.67475,0.60949,0.37284,1.10867,0.27724,0.86956,0.000721244,0.000721244,0.000721244
38,1737.07,0.4685,1.22981,0.39752,0.91269,0.96593,0.9629,0.98978,0.93155,0.69434,0.68674,0.63543,0.58046,0.37002,1.10463,0.3305,0.86972,0.000715267,0.000715267,0.000715267
39,1783.13,0.46838,1.23287,0.3999,0.92114,0.98721,0.9844,0.99195,0.93238,0.72386,0.72171,0.66851,0.60579,0.3814,1.12077,0.28775,0.87368,0.000709161,0.000709161,0.000709161
40,1829.08,0.46363,1.21869,0.38375,0.90795,0.98434,0.98623,0.99355,0.94258,0.70107,0.70253,0.64351,0.587,0.35033,1.10714,0.2883,0.86257,0.000702928,0.000702928,0.000702928
41,1874.69,0.45805,1.20243,0.38352,0.91123,0.952,0.95196,0.98779,0.93273,0.65656,0.65843,0.62244,0.57774,0.35689,1.09096,0.36823,0.86379,0.000696571,0.000696571,0.000696571
42,1920.99,0.4584,1.22098,0.39097,0.90809,0.99069,0.98069,0.99319,0.93466,0.71789,0.70955,0.65634,0.60314,0.36754,1.11081,0.27741,0.86189,0.000690093,0.000690093,0.000690093
43,1967.03,0.46258,1.24262,0.39082,0.90998,0.97659,0.98384,0.99112,0.93641,0.71513,0.71026,0.64603,0.59054,0.3545,1.09381,0.28655,0.86122,0.000683497,0.000683497,0.000683497
44,2012.91,0.4583,1.22748,0.38591,0.91537,0.98768,0.9912,0.99264,0.94063,0.67517,0.67764,0.61779,0.58037,0.35338,1.11923,0.26757,0.85978,0.000676786,0.000676786,0.000676786
45,2059.38,0.44935,1.23008,0.38129,0.907,0.98379,0.98251,0.99072,0.93966,0.69664,0.69537,0.63117,0.57756,0.34978,1.09583,0.28058,0.85794,0.000669962,0.000669962,0.000669962
46,2106.07,0.47,1.24325,0.389,0.92112,0.9877,0.98745,0.99253,0.9346,0.69562,0.69509,0.64069,0.58207,0.37997,1.11258,0.27247,0.86955,0.000663029,0.000663029,0.000663029
47,2152.45,0.47631,1.2283,0.38696,0.91139,0.98811,0.98402,0.99346,0.93406,0.68907,0.68616,0.63947,0.59078,0.37206,1.11392,0.2704,0.86718,0.00065599,0.00065599,0.00065599
