epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2937,0.40027,1.11614,0.27891,0.93631,0.98849,0.99373,0.9946,0.95868,0.72799,0.73424,0.67902,0.64605,0.31034,1.04959,0.22774,0.88771,0.00027651,0.00027651,0.00027651
2,95.3678,0.40545,1.12887,0.30408,0.93646,0.95659,0.97767,0.98998,0.93965,0.6962,0.71958,0.67178,0.62218,0.34007,1.06109,0.31747,0.89488,0.000552348,0.000552348,0.000552348
3,140.329,0.41906,1.1714,0.34506,0.93969,0.9879,0.981,0.99145,0.93665,0.6927,0.68848,0.6623,0.61782,0.36152,1.09929,0.27775,0.90997,0.000826353,0.000826353,0.000826353
4,185.676,0.42711,1.19927,0.33958,0.93614,0.99202,0.9854,0.99436,0.94065,0.72837,0.72046,0.66759,0.62239,0.35175,1.04495,0.26435,0.90709,0.000824753,0.000824753,0.000824753
5,231.088,0.42669,1.18214,0.33787,0.9354,0.99106,0.98704,0.99323,0.94091,0.72934,0.72938,0.67511,0.62264,0.34422,1.06524,0.26113,0.9015,0.000822004,0.000822004,0.000822004
6,277.179,0.42994,1.18745,0.33194,0.93906,0.99259,0.99269,0.99472,0.9412,0.72081,0.72249,0.66736,0.62085,0.36857,1.04629,0.25851,0.91424,0.000819255,0.000819255,0.000819255
7,322.159,0.43086,1.18898,0.34605,0.94536,0.99482,0.99084,0.99419,0.94518,0.72703,0.72373,0.6619,0.61989,0.33407,1.062,0.25102,0.89383,0.000816507,0.000816507,0.000816507
8,367.17,0.43893,1.19182,0.34237,0.94724,0.9861,0.988,0.9936,0.93737,0.70678,0.70898,0.65921,0.60728,0.36177,1.10623,0.2716,0.90398,0.000813758,0.000813758,0.000813758
9,417.2,0.43216,1.18083,0.33665,0.93654,0.99204,0.99054,0.99375,0.94008,0.71872,0.71534,0.67772,0.63258,0.36469,1.12128,0.2664,0.90927,0.000811009,0.000811009,0.000811009
10,469.375,0.42186,1.16359,0.32237,0.92711,0.99392,0.98936,0.99382,0.9444,0.72757,0.72302,0.66533,0.62261,0.35052,1.07243,0.25341,0.89611,0.00080826,0.00080826,0.00080826
11,520.506,0.42387,1.18085,0.33305,0.93316,0.99213,0.99095,0.99309,0.93985,0.71808,0.71706,0.65937,0.62261,0.36227,1.02292,0.26493,0.91179,0.000805511,0.000805511,0.000805511
12,571.508,0.42437,1.18431,0.33164,0.93113,0.99004,0.98604,0.99208,0.93825,0.72128,0.71907,0.66802,0.62701,0.37878,1.03961,0.27434,0.91861,0.000802762,0.000802762,0.000802762
13,619.95,0.4393,1.18134,0.34245,0.93856,0.99508,0.98732,0.99424,0.94131,0.72715,0.73004,0.67334,0.63659,0.35348,1.02968,0.25535,0.90138,0.000800013,0.000800013,0.000800013
14,670.268,0.43413,1.16213,0.33607,0.93518,0.99367,0.99413,0.99338,0.94361,0.72415,0.72612,0.67911,0.63911,0.34966,1.06306,0.24676,0.892,0.000797264,0.000797264,0.000797264
15,719.335,0.41876,1.17808,0.3233,0.9259,0.99053,0.97961,0.99249,0.94286,0.73848,0.73304,0.67555,0.63184,0.34108,1.03701,0.25675,0.88718,0.000794515,0.000794515,0.000794515
16,771.099,0.42245,1.16518,0.32824,0.93044,0.99311,0.98757,0.99357,0.94028,0.72057,0.71726,0.65342,0.60565,0.3614,1.05317,0.25468,0.90654,0.000791767,0.000791767,0.000791767
17,822.47,0.41794,1.15788,0.32298,0.92955,0.98343,0.97559,0.99011,0.94632,0.70514,0.70045,0.65897,0.62709,0.32836,1.04947,0.26671,0.88565,0.000789018,0.000789018,0.000789018
18,873.073,0.42449,1.17027,0.33274,0.92667,0.99536,0.99352,0.99418,0.94348,0.73949,0.73871,0.67949,0.64092,0.35787,1.03862,0.25201,0.89888,0.000786269,0.000786269,0.000786269
19,921.978,0.42368,1.16456,0.32925,0.93544,0.98889,0.98661,0.99433,0.94403,0.72959,0.72826,0.69668,0.65624,0.34427,1.06015,0.25441,0.89648,0.00078352,0.00078352,0.00078352
20,971.502,0.43044,1.1754,0.33377,0.93549,0.99258,0.98901,0.99446,0.9526,0.73602,0.73298,0.67648,0.6343,0.32556,1.06941,0.24126,0.88303,0.000780771,0.000780771,0.000780771
21,1020.65,0.41516,1.15021,0.31632,0.92115,0.99633,0.97656,0.99338,0.95046,0.711,0.71044,0.66932,0.63539,0.33538,1.08245,0.24941,0.88872,0.000778022,0.000778022,0.000778022
22,1071.08,0.42579,1.17602,0.32191,0.93381,0.99153,0.98728,0.9942,0.94787,0.73701,0.73829,0.68643,0.64471,0.35019,1.03628,0.25182,0.89386,0.000775273,0.000775273,0.000775273
23,1121.37,0.42527,1.19093,0.32398,0.92651,0.99193,0.99255,0.9945,0.94871,0.71344,0.71352,0.67303,0.63797,0.35192,1.06883,0.23993,0.89326,0.000772524,0.000772524,0.000772524
24,1172.1,0.42425,1.13181,0.32667,0.93395,0.98619,0.98487,0.9942,0.94836,0.70689,0.70967,0.65656,0.61848,0.32979,1.03661,0.24799,0.88301,0.000769775,0.000769775,0.000769775
25,1224.36,0.41519,1.13783,0.31455,0.92108,0.99661,0.99564,0.99444,0.95426,0.70105,0.70077,0.64805,0.62134,0.33209,1.05974,0.23608,0.88668,0.000767026,0.000767026,0.000767026
26,1274.08,0.4163,1.15339,0.32431,0.93077,0.99227,0.98962,0.99357,0.94428,0.71122,0.70957,0.66658,0.62619,0.34583,1.12213,0.24104,0.89159,0.000764278,0.000764278,0.000764278
27,1325.43,0.41215,1.14077,0.31052,0.92404,0.99491,0.99124,0.9942,0.95116,0.726,0.72308,0.66769,0.63224,0.32618,1.07305,0.23367,0.87948,0.000761529,0.000761529,0.000761529
28,1374.51,0.41187,1.16275,0.31446,0.92018,0.99606,0.98418,0.99459,0.9519,0.73017,0.73042,0.66701,0.6277,0.33843,1.05747,0.24396,0.88975,0.00075878,0.00075878,0.00075878
29,1424.04,0.40982,1.15493,0.31521,0.91452,0.99421,0.98389,0.99352,0.95405,0.71474,0.70654,0.66135,0.6263,0.32766,1.03764,0.25052,0.88237,0.000756031,0.000756031,0.000756031
30,1474.35,0.40742,1.14073,0.31255,0.9132,0.99579,0.98653,0.99351,0.94498,0.71787,0.7129,0.67043,0.62894,0.33832,1.06088,0.25214,0.89113,0.000753282,0.000753282,0.000753282
31,1525.79,0.40836,1.17251,0.31399,0.92339,0.99135,0.98534,0.99433,0.95395,0.70916,0.71348,0.66236,0.63035,0.31753,1.02743,0.2472,0.87443,0.000750533,0.000750533,0.000750533
32,1578.06,0.40772,1.1371,0.30969,0.91797,0.98299,0.98343,0.99367,0.95357,0.70486,0.71053,0.66922,0.63911,0.33248,1.01605,0.25622,0.88259,0.000747784,0.000747784,0.000747784
33,1629.86,0.42124,1.14858,0.30578,0.91795,0.99479,0.99079,0.99427,0.93859,0.72103,0.71742,0.6571,0.61762,0.37927,1.03175,0.24593,0.90742,0.000745035,0.000745035,0.000745035
34,1679.84,0.42246,1.17935,0.31704,0.93133,0.99435,0.99325,0.99421,0.95366,0.74119,0.74023,0.67761,0.64104,0.32765,1.01902,0.23458,0.88084,0.000742286,0.000742286,0.000742286
35,1729.31,0.40696,1.14418,0.307,0.91137,0.9886,0.98985,0.99443,0.95839,0.71775,0.71954,0.65856,0.62112,0.3147,1.0218,0.23532,0.87167,0.000739537,0.000739537,0.000739537
36,1779.19,0.40646,1.14493,0.30583,0.91378,0.98979,0.97806,0.99244,0.95169,0.71672,0.70305,0.66259,0.62639,0.31553,1.04021,0.24591,0.87369,0.000736788,0.000736788,0.000736788
37,1829.01,0.41234,1.15245,0.31614,0.92734,0.99646,0.98243,0.99402,0.95362,0.72754,0.71802,0.67129,0.63422,0.32114,1.03328,0.23528,0.87715,0.00073404,0.00073404,0.00073404
38,1882.1,0.40358,1.12537,0.30245,0.91386,0.99716,0.98946,0.99452,0.95251,0.72242,0.72353,0.67206,0.63962,0.33121,1.03028,0.22903,0.88112,0.000731291,0.000731291,0.000731291
39,1933.52,0.40764,1.14712,0.31138,0.92112,0.98916,0.98927,0.99446,0.95387,0.72415,0.72481,0.66027,0.6216,0.32169,1.04655,0.23685,0.87312,0.000728542,0.000728542,0.000728542
40,1984.47,0.4199,1.15997,0.31227,0.92867,0.98918,0.98714,0.99341,0.9515,0.72713,0.72518,0.6804,0.63689,0.33082,1.02926,0.23465,0.87771,0.000725793,0.000725793,0.000725793
41,2033.32,0.40534,1.15035,0.31288,0.92192,0.99466,0.99119,0.99372,0.94935,0.72183,0.72147,0.67686,0.63449,0.33341,1.04659,0.23525,0.88304,0.000723044,0.000723044,0.000723044
42,2081.9,0.40491,1.12079,0.30088,0.91572,0.99291,0.99213,0.99357,0.95194,0.7272,0.72495,0.68117,0.6391,0.32328,1.03734,0.23307,0.8774,0.000720295,0.000720295,0.000720295
43,2131.92,0.41725,1.14809,0.31089,0.9216,0.99546,0.98298,0.99407,0.95645,0.73345,0.72372,0.66272,0.62531,0.3192,1.02034,0.2353,0.87613,0.000717546,0.000717546,0.000717546
44,2181.75,0.39462,1.14662,0.29276,0.90653,0.99717,0.99006,0.99463,0.96204,0.72278,0.71704,0.66165,0.62825,0.30472,1.08345,0.22001,0.86678,0.000714797,0.000714797,0.000714797
45,2234.18,0.41238,1.13678,0.30497,0.91926,0.99572,0.9922,0.99471,0.95486,0.7163,0.71401,0.67308,0.64141,0.32381,1.01226,0.22877,0.87967,0.000712048,0.000712048,0.000712048
46,2285.37,0.40345,1.16548,0.30368,0.91669,0.9976,0.98492,0.99403,0.95477,0.72562,0.71553,0.6761,0.63706,0.3244,1.07764,0.23172,0.87589,0.000709299,0.000709299,0.000709299
47,2336.65,0.40962,1.13893,0.30816,0.91974,0.99195,0.98877,0.99379,0.95714,0.7371,0.7337,0.68621,0.64686,0.31464,1.01388,0.2268,0.87312,0.000706551,0.000706551,0.000706551
48,2386.36,0.4091,1.15206,0.30198,0.91851,0.99378,0.99601,0.99468,0.95532,0.73522,0.73313,0.67452,0.64332,0.32916,1.00633,0.22086,0.8781,0.000703802,0.000703802,0.000703802
49,2436.97,0.40229,1.15187,0.29151,0.9214,0.99401,0.99332,0.99477,0.96211,0.72247,0.72308,0.67301,0.63991,0.30291,0.99918,0.21989,0.86725,0.000701053,0.000701053,0.000701053
50,2485.92,0.39448,1.13396,0.28943,0.90331,0.99082,0.98923,0.9945,0.95605,0.72849,0.72593,0.67356,0.64228,0.32415,1.00806,0.23112,0.87875,0.000698304,0.000698304,0.000698304
51,2535.78,0.39783,1.13279,0.28839,0.91143,0.99378,0.98923,0.99483,0.95656,0.71759,0.71339,0.66339,0.63115,0.3172,1.03734,0.22459,0.87468,0.000695555,0.000695555,0.000695555
52,2587.84,0.40185,1.14984,0.30499,0.92083,0.99477,0.98377,0.9944,0.95552,0.7209,0.71131,0.66164,0.62492,0.30962,1.00657,0.23817,0.86948,0.000692806,0.000692806,0.000692806
53,2639.1,0.39959,1.15361,0.30364,0.92013,0.9923,0.99238,0.99468,0.96245,0.71709,0.71706,0.67899,0.64965,0.30145,1.00818,0.23039,0.86561,0.000690057,0.000690057,0.000690057
54,2690.48,0.39467,1.12367,0.30161,0.90705,0.99321,0.99369,0.99471,0.95662,0.72471,0.72465,0.6836,0.64942,0.32225,1.02311,0.22513,0.87587,0.000687308,0.000687308,0.000687308
55,2747.36,0.40475,1.12976,0.30075,0.92268,0.99559,0.99489,0.99327,0.9644,0.74844,0.74824,0.69641,0.66749,0.29845,0.99931,0.21753,0.8662,0.000684559,0.000684559,0.000684559
56,2797.6,0.39924,1.14364,0.2946,0.9154,0.99451,0.9892,0.99461,0.95889,0.74634,0.74177,0.68184,0.6424,0.31604,1.01009,0.22121,0.87493,0.00068181,0.00068181,0.00068181
57,2848.41,0.39352,1.14197,0.28946,0.91285,0.98603,0.99605,0.99458,0.95711,0.72303,0.73187,0.67661,0.63994,0.32192,1.00996,0.22683,0.87484,0.000679062,0.000679062,0.000679062
58,2897.85,0.40532,1.12018,0.29832,0.91638,0.99444,0.9924,0.99463,0.96127,0.72523,0.72393,0.68449,0.65705,0.309,1.07407,0.2197,0.8655,0.000676313,0.000676313,0.000676313
59,2949.37,0.40486,1.12118,0.29725,0.9105,0.99538,0.99252,0.9947,0.95679,0.73508,0.73385,0.68403,0.65492,0.32945,0.98322,0.22644,0.8804,0.000673564,0.000673564,0.000673564
60,3000.97,0.40172,1.13309,0.29593,0.91435,0.99392,0.99386,0.99483,0.96109,0.72636,0.72813,0.68381,0.65695,0.31749,0.98693,0.22034,0.87251,0.000670815,0.000670815,0.000670815
61,3052.89,0.40042,1.10906,0.29508,0.91663,0.99357,0.99384,0.99481,0.96185,0.73103,0.73193,0.67387,0.64678,0.30045,1.04519,0.21711,0.86112,0.000668066,0.000668066,0.000668066
62,3102.63,0.3939,1.13035,0.28877,0.90623,0.99433,0.98734,0.99469,0.96236,0.72739,0.72139,0.67362,0.64598,0.30493,1.00722,0.22154,0.86457,0.000665317,0.000665317,0.000665317
63,3152.4,0.39607,1.12847,0.29557,0.90918,0.99198,0.99528,0.99486,0.95975,0.73022,0.73289,0.67766,0.64733,0.31709,0.98434,0.21631,0.87143,0.000662568,0.000662568,0.000662568
64,3201.42,0.40038,1.1434,0.28716,0.91269,0.99742,0.99488,0.99448,0.96176,0.73867,0.73667,0.69764,0.67001,0.31677,0.98642,0.21503,0.87214,0.000659819,0.000659819,0.000659819
